Route stop,Business,Address,Phone,Category,Owned website search status,Raw owned-site candidate,Search evidence
60,Primera Insurance Agency,3339 23rd Street,(415) 829-7312,insurance,ATTEMPTED - no likely owned-site hit,,"Primera Insurance Agency LLC in San Francisco, CA - (415) 829 ... (buzzfile.com) | Primeras Insurance Agency - San Francisco, CAGoogle MapsPrimeras Insurance Agency LLC | BBB Business Profile | Better ...Auto Insurance in San Francisco, CA | Primeras Insurance AgencyPrimeras Insurance Agency - Overview, News & Similar ...PRIMERAS INSURANCE AGENCY... - Primeras Insurance Agency LLC (yelp.com) | Primeras Insurance Agency LLC | BBB Business Profile | Better ...Auto Insurance in San Francisco, CA | Primeras Insurance AgencyPrimeras Insurance Agency - Overview, News & Similar ...PRIMERAS INSURANCE AGENCY... - Primeras Insurance Agency LLC (bbb.org) | Auto Insurance in San Francisco, CA | Primeras Insurance Agency (cityof.com) | Primeras Insurance Agency - Overview, News & Similar ... (zoominfo.com)"
61,Las Palmeras,"2721;2723 Mission Street, San Francisco, CA, 94110",(415) 285-7796,restaurant,ATTEMPTED - no likely owned-site hit,,"Redwood City Transmission | (650) 361-1676 - AllBiz (allbiz.com) | Redwood City Transmissions - Redwood City, CA - YelpREDWOOD CITY TRANSMISSION - Redwood City CA - Hours ...Redwood City Transmission in Redwood City, CA 94063 - 650-361...Redwood City Transmission - Redwood City, CA 94063Redwood City Transmission - Redwood City, CA (California ...Redwood City Transmissions, 412 MacArthur Ave, Redwood City ... (yelp.com) | REDWOOD CITY TRANSMISSION - Redwood City CA - Hours ... (loc8nearme.com) | Redwood City Transmission in Redwood City, CA 94063 - 650-361... (chamberofcommerce.com) | Redwood City Transmission - Redwood City, CA 94063 (yellowpages.com)"
62,J. J. Jewelers,3214 24th Street,(415) 285-9277,jewelry,ATTEMPTED - no likely owned-site hit,,"Emissions & Smog Test Stations, Redwood City, California ... (local.dmv.org) | Estrella Smog Check, 2627 Middlefield Rd, # B, Redwood City ... (mapquest.com) | Estrella Smog Check Redwood City CA, 94063 – Manta.com (manta.com) | ESTRELLA SMOG CHECK - Updated April 2026 - 11 Photos - 2627 ...Estrella Smog Check – Redwood City, 2627 Middlefield Rd Ste ...Emissions Inspection Stations in Redwood City, CAEstrella Smog Check – Redwood City, 2627 Middlefield Rd Ste ... (yelp.com) | Estrella Smog Check – Redwood City, 2627 Middlefield Rd Ste ...Emissions Inspection Stations in Redwood City, CAEstrella Smog Check – Redwood City, 2627 Middlefield Rd Ste ... (unilocal.fr)"
63,The Jelly Donut,"3198 24th Street, San Francisco, CA, 94110",(415) 648-1419,restaurant,ATTEMPTED - no likely owned-site hit,,"A&S AUTOMOTIVE - 2670 Middlefield Rd, North Fair Oaks CA ... (loc8nearme.com) | A & S AUTOMOTIVE REPAIR - Updated May 2026 - YelpA & S Automotive - Redwood City, CA 94063 - The Real Yellow PagesA&S Automotive Repair Redwood City CA, 94063 – Manta.comA & S AUTOMOTIVE Redwood City CA, 94063 - Company ProfileA & S Automotive - Overview, News & Competitors | ZoomInfo.comA Plus Automotive Company Profile -Sales, Contacts ... (yelp.com) | A & S Automotive - Redwood City, CA 94063 - The Real Yellow Pages (yellowpages.com) | A & S AUTOMOTIVE Redwood City CA, 94063 - Company Profile (start.cortera.com) | A & S Automotive - Overview, News & Competitors | ZoomInfo.com (zoominfo.com)"
64,Jose R. Sanchez Diamond Setter,"3184 24th Street, San Francisco, CA",(415) 641-1129,jewelry,ATTEMPTED - search error,,ERROR: No results found.
65,Cholo Soy,2801 Folsom Street,(415) 341-0027,restaurant,ATTEMPTED - search error,,ERROR: No results found.
66,Center Nails,3008 24th Street,(415) 401-6245,beauty,ATTEMPTED - no likely owned-site hit,,"H & H Automotive - Auto Repair & Maintenance | Redwood City, CA (hhautorwc.com) | Middlefield Road Business Directory | North Fair Oaks Community (dev.nfoc.nimbusdesign.com) | Car Body Repairs and Car Body Painting | Redwood City... - Manta.com (manta.com) | Business Directory | County of San Mateo, CA (smcgov.org) | ALLSTATE MARKET Count OLD_SHEET_METAL NEW_Sheet_Metal... (irp.cdn-website.com)"
67,Géminis Barber Shop,2933 24th Street,(415) 573-7918,hairdresser,ATTEMPTED - no likely owned-site hit,,"Muebleria Uruapan | Redwood City, California 94063 Furniture Store (furnishnearme.com) | Muebleria Uruapan | (650) 366-2514 | Redwood City, California (allbiz.com) | Muebleria Uruapan - Redwood City, CA 94063 - The Real Yellow ...Muebleria Uruapan Redwood City CA, 94063 – Manta.comMuebleria Uruapan in Redwood City, CA – Reviews ... - YahooMuebleria Uruapan - Redwood City, CA, 94063Muebleria Uruapan – Redwood City, 2844 Middlefield Rd ...MUEBLERIA URUAPAN Redwood City CA, 94063 - Company Profile (yellowpages.com) | Muebleria Uruapan Redwood City CA, 94063 – Manta.comMuebleria Uruapan in Redwood City, CA – Reviews ... - YahooMuebleria Uruapan - Redwood City, CA, 94063Muebleria Uruapan – Redwood City, 2844 Middlefield Rd ...MUEBLERIA URUAPAN Redwood City CA, 94063 - Company Profile (manta.com) | Muebleria Uruapan in Redwood City, CA – Reviews ... - Yahoo (local.yahoo.com)"
68,Ambaro Salon & Barbet,2915 24th Street,(415) 240-6173,hairdresser,ATTEMPTED - no likely owned-site hit,,"Newage Beauty Salon 2773 El Camino Real, Redwood City, CA ... (superpages.com) | New Age Hair & Nail Spa Company Profile -Sales, Contacts ... (buzzfile.com) | Jason's Nail Salon in Redwood City, CA United States - Apple Maps (maps.apple.com) | Jason's Nail Salon in Redwood City, CA 94061 - 650-261...Jason's Nails (@jasonnailsspasalon) • Instagram photos and videosFree Reverse Phone Lookup & Search - USPhoneBookNew Age Hair And Nail Beauty Salon - Facebook (chamberofcommerce.com) | Jason's Nails (@jasonnailsspasalon) • Instagram photos and videos (instagram.com)"
69,Ana's Dreams,2870 24th Street,(415) 724-3065,hairdresser,ATTEMPTED - no likely owned-site hit,,"Ana's Dreams - San Francisco, CA 94110 - Services and Reviews (salondiscover.com) | Ana's Dreams - 2870 24th St, San Francisco CA 94110 - Loc8NearMe (loc8nearme.com) | Ana's Dreams Hair Salon - San Francisco, CA (yelp.com) | Whitepages: Find People, Phone Numbers & Addresses (whitepages.com) | Reverse Phone Lookup | Identify Callers & Verify Numbers (peoplefinders.com)"
70,Laura's Beauty and Barber Shop,2858 24th Street,(415) 282-9995,hairdresser,ATTEMPTED - no likely owned-site hit,,"Business Directory | County of San Mateo, CA (smcgov.org)"
71,The Phone Booth,"1398 South Van Ness Avenue, San Francisco, CA, 94110",(415) 648-4683,bar,ATTEMPTED - no likely owned-site hit,,"Tacos El Camino 2627 El Camino Real, Redwood ... - Superpages (superpages.com) | Tacos El Camino - Redwood City, CA 94061 - The Real Yellow Pages (yellowpages.com) | Tacos El Camino, Redwood City - 2627 El Camino Real - Menu ... (us.sluurpy.com) | Tacos El Camino Restaurant Map Location - Redwood City ... (latlong.net) | Map & Directions - Tacos El Camino, Redwood City, CA 94061 ... (menupix.com)"
72,Hollywood Beauty Salon,2863 Mission Street,(415) 410-1200,hairdresser,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
73,Ariel’s Breakfast Mi Yucatan,"2845 Mission Street, San Francisco, CA, 94110",(415) 285-4455,fast_food,ATTEMPTED - search error,,ERROR: No results found.
74,Lian Nails,2890 Mission Street,(415) 648-5826,beauty,ATTEMPTED - no likely owned-site hit,,US Chinese Food - Redwood City (a-better-place.com)
75,Eddy's Tax and Accounting,"3420 25th Street, San Francisco",(415) 529-1387,accountant,ATTEMPTED - search error,,ERROR: No results found.
76,El Rinconcito Nicaraguense,"2943 Mission Street, San Francisco, CA, 94110",(415) 643-4620,restaurant,ATTEMPTED - search error,,ERROR: No results found.
77,El Honduras,3047 Mission Street,(415) 341-0013,restaurant,ATTEMPTED - no likely owned-site hit,,Calle24Dine (calle24sf.org)
78,Las Brisas de Acapulco,"3137 Mission Street, San Francisco, CA, 94110",(415) 826-1496,restaurant,ATTEMPTED - search error,,ERROR: No results found.
79,Eco Jewelers,3174 Mission Street,(415) 282-2710,jewelry,ATTEMPTED - no likely owned-site hit,,"Eco Jewelers - San Francisco, CA 94110 - The Real Yellow Pages (yellowpages.com) | Eco Jewelers 3344 24th St, San Francisco, CA 94110 ... (superpages.com) | Eco Jewelers, 3344 24th St, San Francisco, CA 94110, US ... (mapquest.com) | Eco Jewelers - San Francisco CA 94110 | 415-282-2710 (merchantcircle.com) | Eco Jewelers in San Francisco, CA – Reviews, Hours, and ... (local.yahoo.com)"
80,Healthy Nails,"3187 Mission Street, San Francisco, CA, 94110",(415) 658-7536,beauty,ATTEMPTED - no likely owned-site hit,,"Healthy Nails, 3187 Mission St, San Francisco, CA 94110, US ... (mapquest.com) | Healthy Nails - San Francisco, CA 94110 - Services and Reviews (salondiscover.com) | Healthy Nails - 3187 Mission St, San Francisco, CA 94110 | FreshaHealthy Pedicure Nails - San Francisco, CA 94110Healthy Pedicure Nails - San Francisco, CA 94110 - (415)658 ...Healthy Pedicure Nails San Francisco - San Francisco, CA ... (fresha.com) | Healthy Pedicure Nails - San Francisco, CA 94110 (yellowpages.com) | Healthy Pedicure Nails - San Francisco, CA 94110 - (415)658 ... (showmelocal.com)"
81,Taqueria Can-Cún,"3211 Mission Street, San Francisco, CA, 94110",(415) 550-1414,restaurant,ATTEMPTED - no likely owned-site hit,,The Best Mexican Restaurant in San Francisco - SF Station (sfstation.com) | The Best Mexican Restaurant in Bay Area - SF Station (sfstation.com) | The Best Restaurants in San Francisco - SF Station (sfstation.com)
82,Royal Cuckoo,"3202 Mission Street, San Francisco, 94110",(415) 550-8667,bar,ATTEMPTED - no likely owned-site hit,,"One-On-One Fitness in Redwood City, CA 94061 - 650-364... (chamberofcommerce.com) | One-On-One Fitness Health Club in Redwood City, CA 94061One-On-One Fitness - Redwood City, CA (California) - (650 ...One On One Fitness - Redwood City, CA 94061 - The Real Yellow ...One-On-One Fitness Redwood City CA, 94061 – Manta.comOne-On-One Fitness | (650) 364-4873 | Redwood City, CaliforniaOne On One Fitness, 30 Woodside Plz, Redwood City, CA 94061 ... (wellness.com) | One-On-One Fitness - Redwood City, CA (California) - (650 ... (411.info) | One On One Fitness - Redwood City, CA 94061 - The Real Yellow ... (yellowpages.com) | One-On-One Fitness Redwood City CA, 94061 – Manta.com (manta.com)"
83,Pacific Collision Care,1423 Valencia Street,(415) 525-4965,car_repair,ATTEMPTED - no likely owned-site hit,,"Pacific Collision Care in San Francisco, CA, 94110 - Carwise.com (carwise.com)"
84,Big Mouth Burgers & Beers,"3392 24th Street, San Francisco, CA, 94110",(415) 821-4821,restaurant,ATTEMPTED - no likely owned-site hit,,"Precious Nails | (650) 368-1488 | Redwood City, California (allbiz.com) | Precious Nail In Redwood City - Redwood City, CAPrecious Nail In Redwood City - Redwood City, CA 94061 ...Precious Nail In Redwood City in Redwood City, CA 94061 - 650 ...Precious Nail - Redwood City, CA 94061 - The Real Yellow PagesPrecious Nail In Redwood City - 60 Reviews - Beauty in ...Precious Nails, 760 Woodside Rd, Redwood City, CA 94061, US ... (yelp.com) | Precious Nail In Redwood City - Redwood City, CA 94061 ... (salondiscover.com) | Precious Nail In Redwood City in Redwood City, CA 94061 - 650 ... (chamberofcommerce.com) | Precious Nail - Redwood City, CA 94061 - The Real Yellow Pages (yellowpages.com)"
85,Ezzo Rotisserie,"3388 24th Street, San Francisco, CA, 94110",(415) 410-1026,restaurant,ATTEMPTED - search error,,ERROR: No results found.
86,El Trebol,"3149 22nd Street, San Francisco, CA, 94110",(415) 647-5774,bar,ATTEMPTED - no likely owned-site hit,,"Clean Wash, 742 Woodside Rd, Redwood City, CA 94061, US ... (mapquest.com) | Clean Wash | BBB Business Profile | Better Business Bureau (bbb.org) | Clean Wash - Redwood City, CA 94061 - The Real Yellow Pages (yellowpages.com) | Redwood City, California (CA) Laundromats and Drycleaners ... (whereorg.com) | Clean Wash Map - Laundromat - San Mateo, California, USA (mapcarta.com)"
87,Pan Lido Salvadoreno,"3147 22nd Street, San Francisco, CA, 94110",(415) 282-3350,bakery,ATTEMPTED - no likely owned-site hit,,"NANCY'S NAILS - Redwood City CA - Hours, Directions, Reviews ... (loc8nearme.com) | Nancy's - Redwood City, CA 94061 - The Real Yellow Pages (yellowpages.com) | Nancy's Nails - 738 Woodside Rd, Redwood City, CA ... - Fresha (fresha.com) | Nancy's Nails - Redwood City, CA - Beauty Salon in ... - MantaNANCYS NAIL Redwood City CA, 94061 - Company Profile - CorteraNancy's Nails, 736 Woodside Rd, Redwood City, CA 94061, US ...Nancy's Nails - Redwood City - 7 Reviews - Salons near me ... (manta.com) | NANCYS NAIL Redwood City CA, 94061 - Company Profile - Cortera (start.cortera.com)"
88,Mission Curry House,2434 Mission Street,(415) 872-9130,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://missioncurryonline.com/about-us/,About Us - missioncurryonline.com (missioncurryonline.com)
89,Little Kite Asian Fusion,3515 20th Street,(415) 285-4926,restaurant,ATTEMPTED - no likely owned-site hit,,"Little Kite - yeschinese.com (yeschinese.com) | Little Kite Menu - San Francisco, CA Restaurant - MenuPagesInfo & Hours | Little Kite | Beyond MenuLittle Kite menu - San Francisco CA 94110 - (415) 285-4926Little Kite in San Francisco, CA 94110 - (415) 2...Little Kite | 3515 20th St A, San Francisco, CA 94110, USA (menupages.com) | Info & Hours | Little Kite | Beyond Menu (beyondmenu.com) | Little Kite menu - San Francisco CA 94110 - (415) 285-4926 (allmenus.com) | Little Kite in San Francisco, CA 94110 - (415) 2... (chamberofcommerce.com)"
90,Dragon City Bakery,2367 Mission Street,(415) 821-9718,bakery,RAW HIT REVIEWED - not confirmed owned site,https://woodsidelaundry.com/services/,"Woodside Laundry in Redwood City, CA 94061 - 650-365... (chamberofcommerce.com) | WOODSIDE LAUNDRY - Redwood City CA - Hours, Directions ... (loc8nearme.com) | Woodside Laundry in Redwood City, CA – Reviews ... - Yahoo (local.yahoo.com) | Woodside Laundry, 518 Woodside Rd, Redwood City, CA 94061, US ... (mapquest.com) | WOODSIDE LAUNDRY - Updated May 2026 - 22 Photos & 13 Reviews ...Woodside Laundry in Redwood City, CA | DryCleanersList.comServices - Woodside Laundry (yelp.com)"
91,Ambaro,2365 Mission Street,(415) 240-6173,hairdresser,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
92,Fiesta Laundromat,"898 South Van Ness Avenue, 94110",(415) 401-7605,laundry,ATTEMPTED - no likely owned-site hit,,"Fiesta Laundromat | (415) 401-7605 | San Francisco - AllBiz (allbiz.com) | Fiesta Laundromat in San Francisco, CA 94110 - 415-401...Fiesta Laundromat - San Francisco, CA (California) - (415 ...FIESTA LAUNDROMAT - Updated April 2026 - 21 Photos & 60 ...Fiesta Laundromat in San Francisco, California 94110 - (415 ...Fiesta Laundromat - San Francisco, CA 94110 - (415)401-7605 ...Fiesta Laundromat - San Francisco, CA 94110 (chamberofcommerce.com) | Fiesta Laundromat - San Francisco, CA (California) - (415 ... (411.info) | FIESTA LAUNDROMAT - Updated April 2026 - 21 Photos & 60 ...Fiesta Laundromat in San Francisco, California 94110 - (415 ...Fiesta Laundromat - San Francisco, CA 94110 - (415)401-7605 ...Fiesta Laundromat - San Francisco, CA 94110 (yelp.com) | Fiesta Laundromat in San Francisco, California 94110 - (415 ... (ibegin.com)"
93,La Barberhood,2275 Mission Street,(415) 933-5601,hairdresser,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai) | La Barberhood - Barbershop near Mission District in San ... (findbarbershopnearme.com) | LA BARBERHOOD - Updated March 2026 - 36 Photos & 12 Reviews ... (yelp.com) | La Barberhood - San Francisco - Book Online - Prices, Reviews ... (booksy.com) | La Barberhood | San Francisco - Facebook (facebook.com)"
94,Clean Cut,2263 Mission Street,(415) 757-0780,hairdresser,ATTEMPTED - no likely owned-site hit,,
95,District Tea,"2154 Mission Street, San Francisco, CA, 94110-1247",(415) 638-6134,cafe,ATTEMPTED - no likely owned-site hit,,"Sky Nails at 1059 Crane Street, Menlo Park, CA 94025 (menlo-park.calstatedir.com) | Skin Care in Menlo Park, CA (Page 2) (ilookbetter.com)"
96,De Angelis,573 Valencia Street,(415) 861-9800,furniture,ATTEMPTED - no likely owned-site hit,,"De Angelis in San Francisco, CA 94110 - 415-861... (chamberofcommerce.com) | Reverse Phone Lookup | Identify Callers & Verify NumbersDE ANGELIS - Updated May 2026 - 24 Photos - 573 Valencia St ...De Angelis Designs 573 Valencia St, San ... - SuperpagesDe Angelis in San Francisco, CA – Reviews, Hours ... - YahooDe Angelis, 573 Valencia St, San Francisco CaDeAngelis | BBB Business Profile | Better Business Bureau (peoplefinders.com) | DE ANGELIS - Updated May 2026 - 24 Photos - 573 Valencia St ...De Angelis Designs 573 Valencia St, San ... - SuperpagesDe Angelis in San Francisco, CA – Reviews, Hours ... - YahooDe Angelis, 573 Valencia St, San Francisco CaDeAngelis | BBB Business Profile | Better Business Bureau (yelp.com) | De Angelis Designs 573 Valencia St, San ... - Superpages (superpages.com) | De Angelis in San Francisco, CA – Reviews, Hours ... - Yahoo (local.yahoo.com)"
97,Alhamra,3083 16th Street,(415) 621-3935,fast_food,ATTEMPTED - no likely owned-site hit,,"Simply Be Beautiful Day Spa, 530 A University Avenue, Palo ...Simply Be Beautiful Day Spa in Palo Alto, CA 94301 - 650-323...SIMPLY BE BEAUTIFUL DAY SPA - Palo Alto CA - Hours ...Simply Be Beautiful Day Spa | Nail salon in Palo Alto, CaliforniaSimply Be Beautiful Day Spa | Palo Alto CA - FacebookSIMPLY BE BEAUTIFUL DAY SPA - 478 Photos & 348 Reviews - YelpSimply Be Beautiful Address, Location, Coordinates & Company ... (findglocal.com) | Simply Be Beautiful Day Spa in Palo Alto, CA 94301 - 650-323... (chamberofcommerce.com) | SIMPLY BE BEAUTIFUL DAY SPA - Palo Alto CA - Hours ... (loc8nearme.com) | Simply Be Beautiful Day Spa | Nail salon in Palo Alto, California (find.dabicus.com) | Simply Be Beautiful Day Spa | Palo Alto CA - FacebookSIMPLY BE BEAUTIFUL DAY SPA - 478 Photos & 348 Reviews - YelpSimply Be Beautiful Address, Location, Coordinates & Company ... (facebook.com)"
